image_path,source_dataset,source_label,unified_label
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_001.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_002.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_003.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_004.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_005.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_006.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_007.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_008.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_009.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_010.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_011.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_012.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_013.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_014.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_015.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_016.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_017.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_019.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_020.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_021.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_022.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_024.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_025.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_026.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_027.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_028.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_029.jpg,bd3,algae,mold_algae
